Date,Close,Open,High,Low,Volume BTC
09/11/18,6280.8,6323,6401.8,6189.8,720
09/12/18,6350,6309.2,6350.2,6200,490
09/13/18,6475,6325,6525.3,6325,970
09/14/18,6497,6475,6586.3,6393.2,540
09/15/18,6512.8,6490,6573,6456.5,280
09/16/18,6505,6512,6535.4,6364.6,240
09/17/18,6249.8,6500,6542.3,6211,710
09/18/18,6323,6249.8,6400,6210,540
09/19/18,6393.9,6323,6511,6131,620
09/20/18,6491.3,6393.9,6541,6343.1,490
09/21/18,6767,6506.5,6780.8,6481.3,1320
09/22/18,6728.3,6773.2,6831.6,6630.5,620
09/23/18,6695.9,6728.3,6799,6652.7,390
09/24/18,6587,6694.6,6734,6580,330
